tSec,x,y,z,vx,vy,vz,
1860,41628701.8957563,5685307.90342494,3647735.92498789,-413.98571079396,3037.86567167004,-36.2762896685206,
1920,41603464.6189117,5867524.88406112,3645524.46091611,-427.255530994272,3036.02399653761,-37.4390635434948,
1980,41577431.3929001,6049629.62098814,3643243.25148337,-440.517308044049,3034.12422037513,-38.6011313843016,
2040,41550602.7078058,6231618.62917667,3640892.33970852,-453.770792129861,3032.16637777435,-39.7624712992112,
2100,41522979.0686974,6413488.42570461,3638471.76992358,-467.015733578814,3030.15050438592,-40.9230614088542,
2160,41494560.9956197,6595235.5298207,3635981.58777291,-480.251882862795,3028.07663691887,-42.0828798465943,
2220,41465349.0235848,6776856.46300793,3633421.8402125,-493.478990602723,3025.94481314006,-43.2419047589003,
2280,41435343.7025629,6958347.74904705,3630792.57550916,-506.696807572798,3023.75507187369,-44.4001143057192,
2340,41404545.597473,7139705.91407994,3628093.84323966,-519.90508470474,3021.50745300069,-45.5574866608473,
2400,41372955.2881733,7320927.48667304,3625325.69428994,-533.103573092041,3019.20199745818,-46.7140000123031,
2460,41340573.3694517,7502008.99788068,3622488.18085421,-546.2920239942,3016.83874723888,-47.869632562699,
2520,41307400.4510152,7682946.98130842,3619581.3564341,-559.470188840971,3014.41774539049,-49.0243625296129,
2580,41273437.1574799,7863737.9731763,3616605.27583768,-572.637819236598,3011.93903601511,-50.1781681459601,
2640,41238684.1283603,8044378.51238211,3613559.99517863,-585.794666964056,3009.40266426856,-51.331027660365,
2700,41203142.0180584,8224865.14056458,3610445.5718752,-598.940483989287,3006.80867635975,-52.4829193375319,
2760,41166811.4958527,8405194.40216656,3607262.06464926,-612.075022465434,3004.15711955004,-53.6338214586172,
2820,41129693.2458868,8585362.84449813,3604009.53352533,-625.198034737077,3001.44804215252,-54.7837123215996,
2880,41091787.9671577,8765367.01779969,3600688.03982954,-638.309273344465,2998.68149353134,-55.9325702416519,
2940,41053096.3735041,8945203.47530501,3597297.64618855,-651.408491027742,2995.85752410099,-57.0803735515111,
3000,41013619.1935941,9124868.77330421,3593838.41652856,-664.495440731181,2992.97618532561,-58.2271006018498,
3060,40973357.170913,9304359.47120674,3590310.41607415,-677.569875607409,2990.03752971817,-59.3727297616462,
3120,40932311.0637506,9483672.13160428,3586713.71134723,-690.63154902163,2987.0416108398,-60.5172394185549,
3180,40890481.6451882,9662803.32033357,3583048.37016586,-703.680214555851,2983.98848329896,-61.6606079792765,
3240,40847869.7030856,9841749.60653931,3579314.46164313,-716.7156260131,2980.87820275068,-62.8028138699284,
3300,40804476.0400677,10020507.5627368,3575512.05618597,-729.73753742165,2977.71082589576,-63.9438355364143,
3360,40760301.473511,10199073.7648749,3571641.22549394,-742.745703039231,2974.48641047991,-65.0836514447937,
3420,40715346.8355292,10377444.7923983,3567702.04255804,-755.73987735725,2971.205015293,-66.2222400816518,
