tSec,x,y,z,vx,vy,vz,
55620,41793921.1533411,-5570353.74776668,-74502.6510338624,406.34997355227,3047.69844991674,0.678086246875657,
55680,41817902.0072489,-5387439.10310768,-74461.253349438,393.010549485413,3049.44664482646,0.701834551788849,
55740,41841082.2689666,-5204421.31798486,-74418.4311340358,379.663609783598,3051.13645990551,0.72557053730891,
55800,41863461.4952199,-5021303.89616182,-74374.1851404061,366.309409932376,3052.76786288156,0.749293750578138,
55860,41885039.2580679,-4838090.34330497,-74328.5161484641,352.948205555582,3054.34082260002,0.773003738972105,
55920,41905815.1449111,-4654784.16691644,-74281.4249652748,339.580252410442,3055.85530902461,0.796700050108214,
55980,41925788.7584994,-4471388.87626699,-74232.9124250391,326.205806382688,3057.31129323797,0.820382231854292,
56040,41944959.7169395,-4287907.98232882,-74182.9793890777,312.825123481668,3058.70874744217,0.844049832337173,
56100,41963327.6537022,-4104344.99770842,-74131.6267458162,299.438459835446,3060.04764495924,0.867702399951257,
56160,41980892.2176296,-3920703.43657935,-74078.8554107677,286.046071685914,3061.3279602317,0.89133948336708,
56220,41997653.0729414,-3736986.81461498,-74024.6663265172,272.64821538389,3062.54966882302,0.914960631539867,
56280,42013609.8992417,-3553198.64892126,-73969.0604627031,259.245147384218,3063.71274741806,0.938565393718086,
56340,42028762.3915246,-3369342.45796936,-73912.0388160001,245.837124240868,3064.81717382359,0.962153319452008,
56400,42043110.2601806,-3185421.76152839,-73853.6024101007,232.424402602029,3065.86292696861,0.98572395860223,
56460,42056653.2310016,-3001440.08059805,-73793.7522956961,219.007239205208,3066.84998690482,1.00927686134821,
56520,42069391.0451865,-2817400.93734124,-73732.4895504571,205.58589087232,3067.77833480695,1.0328115781968,
56580,42081323.4593456,-2633307.85501668,-73669.8152790138,192.16061450478,3068.64795297317,1.05632765999079,
56640,42092450.2455058,-2449164.35791149,-73605.7306129358,178.731667078593,3069.45882482535,1.07982465791735,
56700,42102771.1911147,-2264973.97127375,-73540.2367107106,165.299305639443,3070.21093490943,1.10330212351663,
56760,42112286.0990445,-2080740.22124506,-73473.3347577226,151.863787297777,3070.90426889569,1.12675960869019,
56820,42120994.7875958,-1896466.63479308,-73405.0259662311,138.425369223896,3071.53881357902,1.1501966657095,
56880,42128897.0905012,-1712156.739644,-73335.3115753478,124.984308643037,3072.11455687916,1.17361284722447,
56940,42135992.8569283,-1527814.0642151,-73264.1928510137,111.540862830458,3072.63148784094,1.19700770627187,
57000,42142281.9514825,-1343442.1375472,-73191.6710859761,98.0952891065181,3073.08959663448,1.22038079628383,
57060,42147764.25421,-1159044.48923716,-73117.747599764,84.6478448317645,3073.48887455538,1.24373167109628,
57120,42152439.6605992,-974624.649370332,-73042.4237386639,71.19878740201,3073.82931402486,1.26705988495744,
57180,42156308.0815836,-790186.148453017,-72965.700875695,57.7483742434153,3074.11090858992,1.29036499253621,
57240,42159369.4435429,-605732.517344923,-72887.5804105835,44.2968628075693,3074.33365292345,1.31364654893067,
57300,42161623.6883045,-421267.287191606,-72808.0637697366,30.8445105665685,3074.49754282435,1.33690410967642,
57360,42163070.7731446,-236793.989356906,-72727.152406216,17.3915750080968,3074.60257521756,1.36013723075509,
57420,42163710.670789,-52316.1553553818,-72644.8477997109,3.93831363050446,3074.64874815416,1.38334546860269,
57480,42163543.3694139,132162.683215255,-72561.1514565106,-9.51501606211291,3074.63606081138,1.40652838011801,
57540,42162568.8726454,316638.994741714,-72476.0649094763,-22.9681565648353,3074.56451349263,1.42968552267106,
57600,42160787.1995599,501109.247662692,-72389.5897180127,-36.4208503768394,3074.43410762745,1.45281645411138,
57660,42158198.3846838,685569.910536443,-72301.7274680388,-49.8728400063196,3074.24484577154,1.47592073277647,
57720,42154802.4779924,870017.452108346,-72212.4797719587,-63.3238679754086,3073.99673160665,1.49899791750012,
57780,42150599.5449092,1054448.34137847,-72121.8482686312,-76.7736768250983,3073.68976994053,1.52204756762076,
57840,42145589.6663045,1238859.04766911,-72029.8346233396,-90.2220091201592,3073.32396670685,1.54506924298981,
57900,42139772.938494,1423246.04069238,-71936.4405277604,-103.668607454061,3072.89932896506,1.56806250398003,
57960,42133149.4732367,1607605.79061771,-71841.6676999319,-117.113214453889,3072.41586490025,1.5910269114938,
58020,42125719.3977329,1791934.76813941,-71745.5178842222,-130.555572785268,3071.87358382302,1.61396202697146,
58080,42117482.8546217,1976229.44454419,-71647.9928512966,-143.995425157273,3071.27249616925,1.6368674123996,
58140,42108440.0019781,2160486.29177866,-71549.0943980847,-157.432514327351,3070.61261349996,1.65974263031933,
58200,42098591.0133103,2344701.78251684,-71448.8243477468,-170.866583106234,3069.89394850102,1.6825872438346,
58260,42087936.0775559,2528872.39022765,-71347.1845496396,-184.297374362856,3069.11651498294,1.70540081662041,
58320,42076475.3990786,2712994.58924236,-71244.1768792822,-197.724631029267,3068.28032788063,1.72818291293112,
58380,42064209.1976642,2897064.85482207,-71139.8032383209,-211.148096105539,3067.38540325304,1.75093309760865,
58440,42051137.7085163,3081079.66322512,-71034.0655544935,-224.567512664687,3066.43175828291,1.77365093609074,
58500,42037261.1822518,3265035.49177454,-70926.9657815935,-237.982623857573,3065.41941127642,1.79633599441914,
58560,42022579.8848961,3448928.8189254,-70818.5058994336,-251.393172917812,3064.34838166282,1.81898783924785,
58620,42007094.0978779,3632756.12433223,-70708.6879138087,-264.798903166684,3063.21868999411,1.84160603785129,
