tSec,x,y,z,vx,vy,vz,
29760,6651201.92622244,3591814.03629383,-1557007.91624196,-249.724120590657,3241.96796373612,6410.5471936452,
29820,6625838.68137393,3780621.15967895,-1170138.89879105,-595.50232205499,3049.96122676877,6481.72262851599,
29880,6579778.3210079,3957618.510492,-779606.975875679,-939.44703301499,2848.41186294352,6532.61146999691,
29940,6513163.35821349,4122252.3692659,-386634.556521599,-1280.47600536176,2637.95275414673,6563.0507825833,
30000,6426200.98777253,4274007.85797952,7548.13101932018,-1617.51602704446,2419.24537564806,6572.94293283564,
30060,6319162.43718067,4412410.59061947,401706.968245958,-1949.5064752725,2192.97761620836,6562.2559172513,
30120,6192382.10549522,4537028.19040789,794607.889028881,-2275.40283938164,1959.86150619415,6531.02348782943,
30180,6046256.49173825,4647471.66704443,1185020.82284763,-2594.18020612728,1720.6308223818,6479.34503751313,
30240,5881242.91672345,4743396.64720614,1571723.62290367,-2904.83665020736,1476.03860226591,6407.38521062146,
30300,5697858.04523291,4824504.4546646,1953505.96331842,-3206.39649891545,1226.85462284727,6315.37327025534,
30360,5496676.21574688,4890543.03846672,2329173.19203324,-3497.9134851731,973.862857154077,6203.60225680293,
30420,5278327.58410545,4941307.74782516,2697550.12722726,-3778.47379767096,717.858907648596,6072.42794943506,
30480,5043496.08684601,4976641.9519549,3057484.78596751,-4047.19904718891,459.647397926842,5922.26764586348,
30540,4792917.22842515,4996437.50100743,3407852.03320952,-4303.24916760002,200.039278330277,5753.59870986894,
30600,4527375.69864873,5000635.02298293,3747557.13375903,-4545.82513999596,-60.1509302150785,5566.95677853916,
30660,4247702.8372991,4989224.05741113,4075539.18839656,-4774.17134660743,-320.107789703993,5362.93374742607,
30720,3954773.96494871,4962243.03473892,4390774.45161496,-4987.57775945539,-579.017465649998,5142.17587268155,
30780,3649505.57599076,4919779.10054118,4692279.53496869,-5185.3823601425,-836.070432218577,4905.38174667657,
30840,3332852.38742792,4861967.77046597,4979114.46982188,-5366.97340783132,-1090.46434637635,4653.29960252907,
30900,3005804.27021614,4788992.41949049,5250385.59417462,-5531.79106805147,-1341.40663549006,4386.72426042409,
30960,2669383.09746045,4701083.6272838,5505248.26082793,-5679.32862677787,-1588.11674325822,4106.49427619108,
31020,2324639.52310309,4598518.39236577,5742909.38201078,-5809.1336278697,-1829.82829374255,3813.48931020385,
31080,1972649.69168813,4481619.21528009,5962629.81745834,-5920.80903618757,-2065.79130478112,3508.62750452077,
31140,1614511.8787382,4350753.04658933,6163726.60017806,-6014.01436203455,-2295.27447438003,3192.86266731652,
31200,1251343.06927537,4206330.09793784,6345574.98554765,-6088.46657377637,-2517.5674333981,2867.18121156972,
31260,884275.489873603,4048802.52209542,6507610.31254799,-6143.9407373352,-2731.98284988047,2532.59898026144,
31320,514453.109171832,3878662.97165204,6649329.67443608,-6180.27044335573,-2937.85837608138,2190.15808307301,
31380,143028.116842236,3696443.04410681,6770293.40070601,-6197.34810851039,-3134.55849976348,1840.92376077205,
31440,-228842.612227698,3502711.61767377,6870126.35000573,-6195.12516140436,-3321.47633560522,1485.98120997926,
31500,-600001.060453966,3298073.08173198,6948519.01081191,-6173.61207492202,-3498.03534270994,1126.43235352632,
31560,-969291.606978706,3083165.46685193,7005228.40733175,-6132.87823114187,-3663.69095155581,763.392582534876,
31620,-1335564.55442235,2858658.48021233,7040078.80979396,-6073.05164047918,-3817.93209260495,397.987496812321,
31680,-1697679.63519896,2625251.45152971,7052962.24890004,-5994.31854116866,-3960.28265638872,31.3496288588882,
31740,-2054509.48944538,2383671.19321573,7043838.83219465,-5896.92284449103,-4090.30288672104,-335.384883608585,
31800,-2404943.10421579,2134669.78003958,7012736.86001406,-5781.16540103594,-4207.59066529246,-701.079640830149,
31860,-2747889.20420993,1879022.25515626,6959752.74132763,-5647.40312511065,-4311.78268508754,-1064.60131020977,
31920,-3082279.58575666,1617524.26870875,6885050.70943001,-5496.04797007452,-4402.55552208775,-1424.8229728271,
31980,-3407072.38347147,1350989.65606319,6788862.33693194,-5327.56570618197,-4479.62656828005,-1780.62745015686,
32040,-3721255.25881632,1080247.96459949,6671485.8545468,-5142.47456090012,-4542.75482137423,-2130.91050517634,
32100,-4023848.50616373,806141.935413794,6533285.2814348,-4941.34384097828,-4591.7416141262,-2474.58394310539,
32160,-4313908.07557341,529524.941462826,6374689.36879813,-4724.79251689973,-4626.43133725869,-2810.57875770143,
32220,-4590528.5063437,251258.383389811,6196190.35142956,-4493.48764334922,-4646.71211483457,-3137.84838452408,
32280,-4852845.75863552,-27790.9517499976,5998342.50228485,-4248.14253776165,-4652.5163534692,-3455.37199634137,
32340,-5100039.92912429,-306753.559720808,5781760.49041764,-3989.51474578096,-4643.82112342839,-3762.15775342088,
32400,-5331337.83912158,-584759.906170571,5547117.54593153,-3718.40382457597,-4620.64837171286,-4057.24598243565,
32460,-5546015.48435746,-860943.121322644,5295143.43751278,-3435.6489557239,-4583.06496412438,-4339.71223338939,
32520,-5743400.33818508,-1134441.69266943,5026622.27121619,-3142.12645894358,-4531.18258414362,-4608.67018439286,
32580,-5922873.50365607,-1404402.1482991,4742390.1183095,-2838.74723820327,-4465.15752512872,-4863.27444506082,
