tSec,x,y,z,vx,vy,vz,Unnamed: 7
6600,37243644.5014821,19463618.2638701,3263495.20241563,-1418.07197233386,2717.67416253829,-124.256279802331,
6660,37158203.5826889,19626491.7009017,3256008.58126299,-1429.95417093568,2711.43170072139,-125.297365571148,
6720,37072050.5412111,19788989.0245691,3248459.56591095,-1441.80935748683,2705.13706955724,-126.336083148354,
6780,36985187.0045473,19951107.10817,3240848.29904468,-1453.63730621152,2698.79038449687,-127.372412752463,
6840,36897614.6137287,20112842.8319586,3233174.92453495,-1465.43779180321,2692.39176196226,-128.406334643163,
6900,36809335.0232906,20274193.0832032,3225439.58743577,-1477.21058942861,2685.94131934456,-129.437829121669,
6960,36720349.901244,20435154.7562448,3217642.43398176,-1488.95547473176,2679.43917500233,-130.466876531076,
7020,36630660.929047,20595724.7525548,3209783.61158574,-1500.67222383796,2672.8854482598,-131.49345725671,
7080,36540269.8015755,20755899.9807931,3201863.26883611,-1512.36061335784,2666.28025940508,-132.517551726478,
7140,36449178.2270942,20915677.3568656,3193881.5554943,-1524.02042039138,2659.62372968834,-133.539140411224,
7200,36357387.9272268,21075053.803982,3185838.62249221,-1535.65142253183,2652.91598132001,-134.558203825074,
7260,36264900.6369267,21234026.2527137,3177734.62192958,-1547.25339786979,2646.15713746895,-135.574722525789,
7320,36171718.1044469,21392591.6410505,3169569.70707137,-1558.82612499715,2639.3473222606,-136.588677115115,
7380,36077842.0913097,21550746.9144588,3161344.0323451,-1570.36938301111,2632.4866607751,-137.600048239131,
7440,35983274.3722761,21708489.025938,3153057.75333819,-1581.88295151813,2625.57527904543,-138.608816588598,
7500,35888016.7353156,21865814.9360784,3144711.02679527,-1593.36661063791,2618.61330405551,-139.614962899309,
7560,35792070.9815749,22022721.6131175,3136304.01061546,-1604.82014100738,2611.60086373829,-140.618467952435,
7620,35695438.9253469,22179206.0329974,3127836.86384963,-1616.24332378466,2604.53808697382,-141.619312574874,
7680,35598122.3940393,22335265.1794213,3119309.74669766,-1627.635940653,2597.4251035873,-142.617477639596,
7740,35500123.2281428,22490896.0439102,3110722.82050567,-1638.99777382474,2590.26204434716,-143.612944065992,
7800,35401443.2811997,22646095.6258594,3102076.24776321,-1650.32860604528,2583.04904096302,-144.605692820218,
7860,35302084.4197711,22800860.9325952,3093370.19210046,-1661.628220597,2575.78622608376,-145.595704915543,
7920,35202048.5234053,22955188.9794307,3084604.81828534,-1672.89640130321,2568.47373329548,-146.58296141269,
7980,35101337.4846046,23109076.7897223,3075780.29222076,-1684.13293253208,2561.11169711951,-147.567443420185,
8040,34999953.208793,23262521.3949257,3066896.78094161,-1695.33759920055,2553.70025301032,-148.549132094699,
8100,34897897.6142828,23415519.834652,3057954.45261198,-1706.51018677829,2546.23953735354,-149.528008641391,
8160,34795172.6322413,23568069.1567229,3048953.47652216,-1717.65048129156,2538.72968746382,-150.504054314254,
8220,34691780.2066577,23720166.4172272,3039894.02308572,-1728.75826932718,2531.17084158279,-151.477250416452,
8280,34587722.294309,23871808.6805757,3030776.26383657,-1739.83333803638,2523.56313887694,-152.447578300669,
8340,34483000.8647259,24022993.0195571,3021600.37142598,-1750.87547513874,2515.90671943552,-153.415019369445,
8400,34377617.900159,24173716.5153928,3012366.51961953,-1761.88446892604,2508.20172426839,-154.37955507552,
8460,34271575.3955441,24323976.2577927,3003074.88329414,-1772.86010826618,2500.44829530388,-155.341166922174,
8520,34164875.3584674,24473769.3450096,2993725.63843501,-1783.80218260706,2492.64657538664,-156.299836463566,
8580,34057519.8091309,24623092.8838946,2984318.96213254,-1794.71048198041,2484.79670827542,-157.255545305073,
8640,33949510.7803171,24771943.9899516,2974855.03257929,-1805.5847970057,2476.89883864092,-158.208275103631,
8700,33840850.3173534,24920319.7873921,2965334.02906683,-1816.424918894,2468.95311206357,-159.158007568073,
8760,33731540.4780768,25068217.4091895,2955756.13198262,-1827.2306394518,2460.95967503127,-160.104724459464,
8820,33621583.3327981,25215633.997134,2946121.52280692,-1838.0017510849,2452.91867493719,-161.048407591441,
8880,33510980.9642654,25362566.7018861,2936430.38410954,-1848.73804680221,2444.83026007747,-161.98903883055,
8940,33399735.4676282,25509012.6830313,2926682.89954675,-1859.43932021964,2436.69457964899,-162.926600096578,
9000,33287848.9504009,25654969.1091339,2916879.25385798,-1870.10536556385,2428.51178374705,-163.861073362894,
9060,33175323.5324256,25800433.1577907,2907019.63286268,-1880.73597767615,2420.28202336306,-164.79244065678,
9120,33062161.3458356,25945402.0156849,2897104.22345702,-1891.33095201627,2412.00545038224,-165.720684059765,
9180,32948364.5350179,26089872.8786396,2887133.21361064,-1901.89008466619,2403.68221758127,-166.645785707962,
9240,32833935.2565757,26233842.951671,2877106.79236338,-1912.41317233391,2395.31247862593,-167.5677277924,
9300,32718875.6792911,26377309.4490421,2867025.14982194,-1922.9000123573,2386.89638806874,-168.486492559354,
9360,32603187.9840867,26520269.5943154,2856888.47715661,-1933.35040270782,2378.43410134658,-169.402062310679,
9420,32486874.3639879,26662720.6204062,2846696.96659786,-1943.76414199435,2369.92577477828,-170.314419404142,
9480,32369937.0240841,26804659.7696352,2836450.81143302,-1954.14102946697,2361.37156556219,-171.223546253751,
9540,32252378.1814907,26946084.2937816,2826150.20600291,-1964.48086502067,2352.77163177377,-172.129425330085,
9600,32134200.0653096,27086991.454135,2815795.34569837,-1974.78344919917,2344.12613236315,-173.032039160626,
9660,32015404.9165908,27227378.5215486,2805386.42695689,-1985.04858319864,2335.43522715261,-173.931370330084,
9720,31895994.9882927,27367242.7764906,2794923.64725917,-1995.27606887146,2326.69907683417,-174.827401480727,
9780,31775972.5452429,27506581.5090971,2784407.20512562,-2005.46570872993,2317.91784296705,-175.720115312711,
9840,31655339.8640983,27645392.0192236,2773837.30011289,-2015.61730595005,2309.09168797516,-176.609494584401,
9900,31534099.2333053,27783671.6164968,2763214.1328104,-2025.7306643752,2300.22077514461,-177.495522112704,
9960,31412252.9530594,27921417.6203665,2752537.90483676,-2035.80558851987,2291.30526862111,-178.378180773387,
10020,31289803.3352652,28058627.360157,2741808.81883628,-2045.84188357336,2282.34533340745,-179.257453501409,
10080,31166752.7034955,28195298.1751182,2731027.07847539,-2055.83935540349,2273.34113536091,-180.133323291241,
10140,31043103.3929507,28331427.4144772,2720192.88843905,-2065.79781056031,2264.29284119068,-181.00577319719,
10200,30918857.7504175,28467012.4374892,2709306.45442716,-2075.71705627974,2255.20061845523,-181.874786333724,
10260,30794018.1342278,28602050.6134881,2698367.98315094,-2085.59690048726,2246.06463555971,-182.740345875791,
10320,30668586.9142173,28736539.3219376,2687377.68232928,-2095.43715180164,2236.88506175333,-183.602435059142,
10380,30542566.4716836,28870475.9524815,2676335.76068512,-2105.23761953848,2227.66206712663,-184.461037180651,
10440,30415959.1993444,29003857.9049944,2665242.42794171,-2114.99811371399,2218.39582260891,-185.316135598637,
10500,30288767.5012952,29136682.5896315,2654097.89481899,-2124.71844504855,2209.08649996546,-186.167713733182,
10560,30160993.7929673,29268947.4268792,2642902.3730298,-2134.39842497038,2199.7342717949,-187.015755066447,
10620,30032640.5010847,29400649.8476044,2631656.07527619,-2144.03786561915,2190.33931152647,-187.860243142995,
10680,29903710.0636219,29531787.293105,2620359.21524567,-2153.63657984963,2180.90179341726,-188.701161570103,
10740,29774204.9297602,29662357.2151588,2609012.00760741,-2163.19438123527,2171.4218925495,-189.538494018083,
10800,29644127.5598451,29792357.0760733,2597614.66800845,-2172.71108407181,2161.89978482778,-190.372224220593,
