tSec,x,y,z,vx,vy,vz,
11340,6392996.62891157,4129896.89759876,-525554.583206696,-958.736794033802,2848.59033869891,6296.01846710744,
11400,6325188.67132887,4294057.10548324,-147147.156772873,-1300.53247415297,2622.20369062724,6314.14486394791,
11460,6237060.16680208,4444422.60557761,231735.093039517,-1635.95747648428,2388.87995474423,6311.88659763651,
11520,6129016.60475821,4580597.44925717,609876.615392148,-1964.2419175722,2149.29335865658,6289.49799002784,
11580,6001508.7813604,4702225.8499096,986077.702557632,-2284.64500717148,1904.1085342198,6247.25249455669,
11640,5855031.13341595,4808991.63115697,1359155.58199389,-2596.45241716747,1653.98133841424,6185.44088724837,
11700,5690120.22799118,4900617.72860451,1727945.40869489,-2898.97370182439,1399.55982548321,6104.36974996238,
11760,5507353.40739581,4976865.75607027,2091301.17694616,-3191.53970121318,1141.48542963454,6004.36032512072,
11820,5307347.58844797,5037535.64857615,2448096.57746265,-3473.50001648148,880.394328622351,5885.74784524243,
11880,5090758.20839543,5082465.39110268,2797225.82803755,-3744.22065850922,616.918934597331,5748.88131244307,
11940,4858278.30492553,5111530.83974486,3137604.50344944,-4003.08193981235,351.689471484881,5594.12368567591,
12000,4610637.7148258,5124645.63819331,3468170.38691795,-4249.47661940363,85.3355676966511,5421.85239685919,
12060,4348602.37797076,5121761.23016428,3787884.36115424,-4482.80823998555,-181.512132775306,5232.46015791966,
12120,4072973.73534183,5102866.96944111,4095731.357455,-4702.48966361806,-448.220331025393,5026.35609255479,
12180,3784588.20790064,5067990.32839227,4390721.38238823,-4907.94184532611,-714.15143433392,4803.96718585312,
12240,3484316.74149556,5017197.20445617,4671890.6402813,-5098.59286000116,-978.661929667703,4565.74002505235,
12300,3173064.40227909,4950592.32386616,4938302.76864018,-5273.87719403873,-1241.10076862772,4312.14282349168,
12360,2851770.00623403,4868319.74187758,5189050.20381209,-5433.23532190954,-1500.8077683034,4043.66774265624,
12420,2521405.76446887,4770563.43757984,5423255.6955125,-5576.11361310248,-1757.11206869978,3760.83353234979,
12480,2182976.92310335,4657547.99782173,5640073.9885572,-5701.96460771151,-2009.33071312831,3464.18845294922,
12540,1837521.37568729,4529539.38227694,5838693.68691771,-5810.24765420811,-2256.76735735841,3154.31342715249,
12600,1486109.2261545,4386845.76300206,6018339.31419761,-5900.42993179476,-2498.71107660609,2831.82544452435,
12660,1129842.27658366,4229818.43156033,6178273.58671363,-5971.98795005663,-2734.43532376518,2497.38123763464,
12720,769853.409529484,4058852.7615778,6317799.91329716,-6024.40955737498,-2963.19713317323,2151.68114644676,
12780,407305.836025139,3874389.21139038,6436265.13135231,-6057.19640489816,-3184.23657546977,1795.47313649528,
12840,43392.1811541507,3676914.35207745,6533062.49037652,-6069.866918659,-3396.77646440598,1429.55703797018,
12900,-320666.62748699,3466961.90352809,6607634.89627563,-6061.95991764895,-3600.02240060973,1054.78898589571,
12960,-683622.709898194,3245113.75481017,6659478.42540035,-6033.03895299639,-3793.16327236827,672.085946024194,
13020,-1044202.86510666,3012000.93834848,6688146.10844179,-5982.69732764946,-3975.37229480204,282.430158961674,
13080,-1401110.52217202,2768304.52713825,6693251.97755863,-5910.56374308727,-4145.80852703236,-113.126508818768,
13140,-1753028.05427206,2514756.42450118,6674475.37291589,-5816.3087964835,-4303.61898127856,-513.458309495889,
13200,-2098619.50800403,2252140.0044832,6631565.49188126,-5699.65225449535,-4447.94148725092,-917.361835426821,
13260,-2436533.78192974,1981290.56187273,6564346.15169551,-5560.37074330518,-4577.90814315134,-1323.55258834642,
13320,-2765408.28905795,1703095.53631252,6472720.75937462,-5398.30633466985,-4692.64946963514,-1730.66152114329,
13380,-3083873.17522817,1418494.4532125,6356677.47297106,-5213.37644614739,-4791.29974908528,-2137.23230159659,
13440,-3390556.15616107,1128478.50833395,6216294.48785133,-5005.58447375402,-4873.00352259882,-2541.71987969395,
13500,-3684088.00953255,834089.730963834,6051745.37156184,-4775.03100196938,-4936.92315182347,-2942.49032614252,
13560,-3963108.75450096,536419.65954344,5863304.36391859,-4521.92545360734,-4982.24752003155,-3337.82218853214,
13620,-4226274.53323547,236607.459703418,5651351.54621495,-4246.5977717251,-5008.20189307651,-3725.9095226161,
13680,-4472265.19122152,-64162.5736127816,5416377.77772239,-3949.51011483179,-5014.05851640846,-4104.86656857448,
13740,-4699792.57643198,-364664.179553921,5158989.30327101,-3631.26914240152,-4999.14840173033,-4472.73422438425,
13800,-4907609.566375,-663633.047413168,4879911.87733782,-3292.63758937011,-4962.8743914865,-4827.48981552742,
13860,-5094519.73131778,-959771.521382606,4579994.24589444,-2934.544236237,-4904.72454059153,-5167.0579695191,
13920,-5259387.65302907,-1251754.21034821,4260210.93896241,-2558.0957012045,-4824.28949934811,-5489.32489409865,
13980,-5401149.69436404,-1538234.60091218,3921663.88945768,-2164.57744700785,-4721.27560451413,-5792.15965338836,
14040,-5518824.93373,-1817852.30060273,3565583.24289833,-1755.46530442731,-4595.51770218003,-6073.42228443837,
14100,-5611527.05954605,-2089241.43802285,3193327.02101893,-1332.43620574192,-4447.00087451372,-6330.99625603993,
14160,-5678476.31981064,-2351040.07445702,2806378.76812919,-897.365228940205,-4275.87321757283,-6562.81982441903,
14220,-5719011.08017026,-2601900.28522964,2406343.18933478,-452.309851456389,-4082.45478667589,-6766.91902358873,
14280,-5732598.35529668,-2840498.78625864,1994940.52473003,0.49707864069703,-3867.24974977966,-6941.42124920465,
14340,-5718844.37422139,-3065548.35251058,1573999.28534386,458.651766744135,-3630.95618410693,-7084.59683075674,
14400,-5677504.17461938,-3275809.54055076,1145446.70032809,919.600658178691,-3374.46990928646,-7194.8894280176,
14460,-5608489.98725765,-3470102.70859359,711297.446149889,1380.6613930916,-3098.88888010493,-7270.94524684914,
14520,-5511878.24569506,-3647320.21061754,273640.579619097,1839.04780096626,-2805.51460481414,-7311.64440915235,
14580,-5387914.86630501,-3806438.43285123,-165375.459469844,2291.9024730585,-2495.8451530943,-7316.13201531504,
14640,-5237018.46331772,-3946529.28660738,-603559.470582517,2736.330468536,-2171.56485549491,-7283.84047266441,
14700,-5059781.87561536,-4066771.06378804,-1038695.55481018,3169.42814642463,-1834.53037506529,-7214.52213596054,
14760,-4856970.54941304,-4166457.56946374,-1468562.90896157,3588.35414850616,-1486.73442261374,-7108.25340522017,
14820,-4629518.2138114,-4245006.65464442,-1890954.72296567,3990.34272313386,-1130.31359023762,-6965.43371045484,
14880,-4378521.10293476,-4301967.12135493,-2303698.48949273,4372.75241374009,-767.491199756158,-6786.80090812687,
14940,-4105229.25554683,-4337023.51885636,-2704675.46710854,4733.10316620531,-400.565293561472,-6573.4098599847,
15000,-3811035.80494823,-4349999.56545002,-3091839.5290158,5069.10701805215,-31.8709027703899,-6326.62288083589,
15060,-3497464.98898198,-4340859.63483614,-3463235.47504144,5378.6912920646,336.24456244981,-6048.10791720168,
15120,-3166157.70461613,-4309708.12798211,-3817016.3409141,5660.0406586697,701.464678707657,-5739.79523506326,
15180,-2818855.8806561,-4256787.23470842,-4151458.34837011,5911.6110537592,1061.52051872454,-5403.8589661296,
15240,-2457385.26806157,-4182472.59582947,-4464974.03644362,6132.14688503363,1414.23358534196,-5042.65997149391,
15300,-2083638.59031863,-4087267.66809654,-4756122.8559716,6320.67575834405,1757.52785090598,-4658.73088685527,
15360,-1699558.06315227,-3971796.60564874,-5023620.3256837,6476.51993708446,2089.45958541531,-4254.73377659463,
15420,-1307117.86577087,-3836795.74485743,-5266344.51453198,6599.29010212459,2408.23544099335,-3833.41872606315,
15480,-908307.094656457,-3683104.1704426,-5483340.25223081,6688.87699759013,2712.2263560068,-3397.58801056259,
15540,-505113.31461237,-3511653.45052994,-5673821.07633124,6745.43767713451,2999.97990814493,-2950.0567104382,
15600,-99507.1713870085,-3323456.86465359,-5837168.98563795,6769.3760361955,3270.22546780708,-2493.62007982136,
15660,306571.845946833,-3119598.40105496,-5972932.3248192,6761.32305489745,3521.87680291734,-2031.02282384386,
15720,711228.368785564,-2901221.71195902,-6080821.92851526,6722.11482260566,3754.03098390843,-1564.93234737989,
15780,1112622.77060739,-2669519.19599561,-6160705.7330671,6652.76905079301,3965.96531620889,-1097.9141076099,
15840,1508981.27227989,-2425721.3595579,-6212602.02919873,6554.45843725872,4157.1308561239,-632.411752036108,
15900,1898604.45418693,-2171086.66033665,-6236671.73390925,6428.48493332007,4327.14318536615,-170.734091997302,
15960,2279874.32239399,-1906891.94193761,-6233209.99608189,6276.25716741283,4475.77206078923,284.954903137014,
16020,2651260.05660838,-1634423.51251383,-6202637.23823521,6099.26861803099,4602.93032930981,732.644536596675,
16080,3011322.44952515,-1354968.91624433,-6145489.80133338,5899.07618945046,4708.66186136624,1170.48201877066,
16140,3358717.12623236,-1069809.44486302,-6062410.40746997,5677.28096547256,4793.12914290039,1596.77424462388,
16200,3692196.64748388,-780213.39609892,-5954138.5804025,5435.51018316929,4856.60068369745,2009.98724961084,
16260,4010611.59110666,-487430.093829097,-5821501.18329142,5175.401427998,4899.43838356758,2408.74302395953,
16320,4312910.7540327,-192684.649224818,-5665403.19010388,4898.58890778149,4922.08544549115,2791.81501595445,
16380,4598140.57706814,102826.566677512,-5486818.77351854,4606.69138401727,4925.05483066855,3158.12201222716,
16440,4865443.90814321,397939.786450009,-5286782.79482194,4301.30212097577,4908.91864675867,3506.72105333034,
16500,5114058.20946578,691527.089245078,-5066382.73637895,3983.98038683457,4874.29802615952,3836.79970039957,
16560,5343313.30594977,982499.054569036,-4826751.12225144,3656.24468637715,4821.85368860521,4147.66754669863,
