tSec,x,y,z,vx,vy,vz,
18180,10162156.3163108,40745682.9729246,890691.738035463,-2978.93114436755,732.150274615371,-260.990691471479,
18240,9983322.63124225,40789217.3396411,875023.732188452,-2982.18210841139,718.992790117824,-261.275330429857,
18300,9804295.61394511,40831961.8111599,859338.799205255,-2985.37554030633,705.820476694171,-261.55492832264,
18360,9625078.71844011,40873915.5053092,843637.241732763,-2988.51137050614,692.633586524912,-261.8294790672,
18420,9445675.40288821,40915077.5550584,827919.362779969,-2991.58953055015,679.432372139643,-262.09897667605,
18480,9266089.1295254,40955447.1085389,812185.465712259,-2994.60995306517,666.217086412454,-262.363415257007,
18540,9086323.36459738,40995023.3290651,796435.854245684,-2997.57257176735,652.987982557316,-262.622789013362,
18600,8906381.57829416,41033805.395154,780670.832441232,-3000.47732146406,639.745314123451,-262.877092244038,
18660,8726267.24468452,41071792.5005457,764890.704699083,-3003.32413805578,626.489334990695,-263.126319343755,
18720,8545983.84165039,41108983.8542228,749095.775752852,-3006.11295853785,613.22029936485,-263.370464803187,
18780,8365534.85082106,41145378.68043,733286.350663834,-3008.84372100233,599.938461773021,-263.609523209121,
18840,8184923.75750738,41180976.2186929,717462.73481523,-3011.5163646398,586.644077058945,-263.843489244617,
18900,8004154.05063574,41215775.7238375,701625.233906364,-3014.13082974109,573.337400378306,-264.072357689155,
18960,7823229.22268205,41249776.4660081,685774.153946894,-3016.68705769908,560.018687194042,-264.296123418796,
19020,7642152.76960552,41282977.7306858,669909.801251015,-3019.18499101039,546.688193271637,-264.514781406329,
19080,7460928.19078243,41315378.818707,654032.482431648,-3021.62457327713,533.346174674404,-264.728326721422,
19140,7279558.98893971,41346979.0462802,638142.504394624,-3024.0057492086,519.992887758759,-264.936754530772,
19200,7098048.67008848,41377777.7450043,622240.174332858,-3026.32846462294,506.628589169478,-265.140060098246,
19260,6916400.74345747,41407774.2618854,606325.799720513,-3028.59266644878,493.253535834951,-265.338238785033,
19320,6734618.72142633,41436967.9593536,590399.68830716,-3030.79830272693,479.86798496242,-265.53128604978,
19380,6552706.11945885,41465358.2152796,574462.148111921,-3032.94532261194,466.472194033207,-265.719197448741,
19440,6370666.4560361,41492944.4229913,558513.487417612,-3035.03367637375,453.06642079793,-265.901968635906,
19500,6188503.25258947,41519725.9912893,542554.014764875,-3037.06331539924,439.650923271716,-266.079595363152,
19560,6006220.03343356,41545702.3444634,526584.0389463,-3039.03419219378,426.22595972939,-266.252073480366,
19620,5823820.32569908,41570872.922307,510603.869000537,-3040.94626038279,412.791788700667,-266.41939893559,
19680,5641307.65926555,41595237.1801332,494613.814206408,-3042.79947471327,399.348668965329,-266.581567775148,
19740,5458685.566694,41618794.588789,478614.184077003,-3044.59379105528,385.896859548384,-266.738576143777,
19800,5275957.58315954,41641544.6346705,462605.288353773,-3046.32916640342,372.436619715227,-266.890420284759,
19860,5093127.24638381,41663486.8197364,446587.437000612,-3048.0055588783,358.968208966786,-267.037096540045,
19920,4910198.0965674,41684620.6615227,430560.940197933,-3049.62292772797,345.491887034653,-267.178601350385,
19980,4727173.67632217,41704945.6931559,414526.108336737,-3051.18123332935,332.007913876211,-267.314931255446,
20040,4544057.53060346,41724461.4633667,398483.252012677,-3052.68043718963,318.516549669754,-267.446082893941,
20100,4360853.20664222,41743167.536503,382432.682020105,-3054.12050194764,305.018054809584,-267.57205300374,
20160,4177564.25387711,41761063.4925428,366374.709346125,-3055.50139137519,291.512689901116,-267.692838422,
20220,3994194.22388644,41778148.9271063,350309.645164631,-3056.82307037847,278.000715755958,-267.808436085272,
20280,3810746.6703201,41794423.4514689,334237.800830337,-3058.0855049993,264.482393386989,-267.918843029621,
20340,3627225.14883136,41809886.6925723,318159.487872808,-3059.28866241645,250.957984003429,-268.024056390736,
20400,3443633.21700862,41824538.2930369,302075.017990472,-3060.43251094693,237.427749005893,-268.124073404044,
20460,3259974.43430709,41838377.9111724,285984.70304464,-3061.51702004724,223.891949981444,-268.218891404818,
20520,3076252.36198037,41851405.2209893,269888.855053507,-3062.54216031457,210.350848698626,-268.308507828284,
20580,2892470.56301198,41863619.9122098,253787.786186153,-3063.50790348806,196.804707102501,-268.392920209729,
20640,2708632.6020468,41875021.6902776,237681.808756537,-3064.41422244997,183.253787309665,-268.4721261846,
20700,2524742.04532245,41885610.2763686,221571.235217485,-3065.26109122685,169.698351603263,-268.546123488614,
20760,2340802.4606006,41895385.4074005,205456.378154666,-3066.04848499069,156.138662427991,-268.61490995785,
20820,2156817.41709822,41904346.8360425,189337.550280575,-3066.77638006005,142.574982385089,-268.67848352885,
20880,1972790.48541872,41912494.3307243,173215.064428494,-3067.44475390117,129.007574227331,-268.73684223872,
20940,1788725.23748311,41919827.6756454,157089.233546463,-3068.05358512903,115.436700853996,-268.789984225216,
21000,1604625.24646098,41926346.6707832,140960.370691233,-3068.60285350847,101.862625305843,-268.837907726846,
21060,1420494.08670152,41932051.131902,124828.789022219,-3069.09253995518,88.2856107600643,-268.880611082951,
21120,1236335.33366443,41936940.8905606,108694.801795451,-3069.52262653672,74.7059205252434,-268.918092733804,
21180,1052152.56385077,41941015.7941199,92558.7223575095,-3069.89309647358,61.1238180362944,-268.950351220687,
21240,867949.354733777,41944275.7057509,76420.8641394676,-3070.20393414006,47.5395668493986,-268.977385185985,
21300,683729.284689562,41946720.5044412,60281.5406508192,-3070.45512506532,33.9534306369315,-268.999193373263,
21360,499495.932927836,41948350.0850024,44141.0654734074,-3070.64665593425,20.3656731823819,-269.015774627349,
21420,315252.879422518,41949164.358076,27999.7522553454,-3070.77851458842,6.77655837526307,-269.027127894414,
21480,131003.70484231,41949163.2501401,11857.914704934,-3070.85069002694,-6.81364979398373,-269.03325222205,
21540,-53248.0095187801,41948346.7035151,-4284.13341542603,-3070.86317240735,-20.4046872390936,-269.034146759342,
21600,-237498.681810971,41946714.6763694,-20426.0782953256,-3070.81595304643,-33.99628978309,-269.029810756946,
21660,-421744.729698288,41944267.1427244,-36567.6060824438,-3070.70902442107,-47.5881931634041,-269.020243567156,
21720,-605982.570428192,41941004.0924599,-52708.4028886486,-3070.54238016904,-61.1801330370016,-269.005444643978,
