tSec,x,y,z,vx,vy,vz,
7260,3994193.74335546,41778160.6425411,357223.538512084,-3056.82228630887,278.008539476249,-266.947122117459,
7320,3810746.23661568,41794435.6382896,341203.305764235,-3058.08472826448,264.490282236959,-267.059773594336,
7380,3627224.76149894,41809899.3546334,325176.469215513,-3059.28789349717,250.965936195668,-267.167248337065,
7440,3443632.87556515,41824551.4340841,309143.339554678,-3060.43175031176,237.435762711977,-267.269543538564,
7500,3259974.13824177,41838391.5348408,293104.227635929,-3061.51626815205,223.900023332063,-267.366656491216,
7560,3076252.11075547,41851419.3308005,277059.444472936,-3062.54141760202,210.358979783719,-267.45858458698,
7620,2892470.35606359,41863634.5115694,261009.301232863,-3063.5071703871,196.812893971393,-267.545325317494,
7680,2708632.43878572,41875036.7824732,244954.10923038,-3064.41349937529,183.262027971213,-267.626876274184,
7740,2524741.92513502,41885625.864567,228894.179921678,-3065.26037857838,169.706644026005,-267.70323514836,
7800,2340802.38284964,41895401.4946454,212829.824898468,-3066.0477831531,156.147004540306,-267.774399731324,
7860,2156817.38112393,41904363.4252521,196761.355881982,-3066.77568940224,142.58337207536,-267.840367914465,
7920,1972790.49053965,41912511.424689,180689.084716964,-3067.44407477575,129.016009344112,-267.901137689357,
7980,1788725.28299715,41919845.2770252,164613.323365654,-3068.05291787183,115.445179206188,-267.956707147856,
8040,1604625.3316464,41926364.7821056,148534.383901771,-3068.60219843801,101.871144662876,-268.00707448219,
8100,1420494.210818,41932069.7555593,132452.578504487,-3069.09189737218,88.2941688520823,-268.052237985054,
8160,1236335.49595416,41936960.0288078,116368.219452396,-3069.52199672362,74.7145150432988,-268.092196049698,
8220,1052152.76353956,41941035.4490724,100281.619117478,-3069.89247969397,61.1324466325458,-268.126947170013,
8280,867949.591032173,41944295.8793819,84193.0899590561,-3070.20333063827,47.5482271373158,-268.156489940623,
8340,683729.556794068,41946741.1985798,68102.9445177555,-3070.45453506587,33.9621201915057,-268.180823056961,
8400,499496.240022082,41948371.3013307,52011.4954094469,-3070.64607964136,20.3743895403422,-268.199945315358,
8460,315253.220678503,41949186.0981275,35919.0553191926,-3070.77795218551,6.78529903529854,-268.213855613118,
8520,131004.079421662,41949185.5152969,19825.9369951857,-3070.85014167617,-6.80488737099602,-268.2225529486,
8580,-53247.6024635104,41948369.4950058,3732.45324268394,-3070.86263824909,-20.3959056298549,-268.226036421292,
8640,-237498.243134992,41946737.995267,-12361.0830820598,-3070.81543319882,-33.9874916016402,-268.224305231886,
8700,-421744.260263214,41944290.9899438,-28454.3590778722,-3070.70851897949,-47.5793810608764,-268.217358682352,
8760,-605982.071100666,41941028.468756,-44547.0618047382,-3070.54188920565,-61.1713097013716,-268.205196176005,
8820,-790208.092551542,41936950.4372836,-60638.8782898836,-3070.31553865303,-74.763013141346,-268.187817217578,
8880,-974418.741241433,41932056.916972,-76729.4955338625,-3070.02946325931,-88.3542269285674,-268.165221413286,
8940,-1158610.43358707,41926347.9451356,-92818.600516648,-3069.68366012482,-101.944686545495,-268.137408470888,
9000,-1342779.58586609,41919823.5749615,-108905.880203727,-3069.27812751331,-115.534127414427,-268.104378199758,
9060,-1526922.6142869,41912483.8755134,-124991.021552197,-3068.81286485261,-129.122284902661,-268.066130510934,
9120,-1711035.9350585,41904328.9317344,-141073.711516873,-3068.28787273526,-142.708894327656,-268.022665417189,
9180,-1895115.96446039,41895358.8444499,-157153.637056385,-3067.70315291925,-156.293690962201,-267.973983033079,
9240,-2079159.11891254,41885573.7303701,-173230.485139295,-3067.05870832853,-169.876410039597,-267.920083574999,
9300,-2263161.81504535,41874973.7220923,-189303.942750203,-3066.35454305369,-183.456786758836,-267.860967361241,
9360,-2447120.46976967,41863558.9681028,-205373.696895867,-3065.59066235251,-197.034556289795,-267.796634812038,
9420,-2631031.50034685,41851329.6327783,-221439.434611315,-3064.76707265052,-210.60945377843,-267.727086449619,
9480,-2814891.32445882,41838285.8963876,-237500.842965974,-3063.88378154149,-224.18121435198,-267.652322898249,
9540,-2998696.36027816,41824427.9550921,-253557.609069785,-3062.94079778801,-237.749573124175,-267.572344884281,
9600,-3182443.02653834,41809756.0209467,-269609.420079337,-3061.9381313219,-251.314265200455,-267.487153236191,
9660,-3366127.74260379,41794270.3219,-285655.96320399,-3060.87579324474,-264.875025683186,-267.396748884627,
9720,-3549746.92854015,41777971.1017945,-301696.925712012,-3059.75379582824,-278.431589676889,-267.30113286244,
9780,-3733297.00518446,41760858.6203663,-317731.994936705,-3058.5721525147,-291.983692293474,-267.200306304726,
9840,-3916774.39421545,41742933.1532443,-333760.858282547,-3057.33087791739,-305.531068657476,-267.094270448857,
9900,-4100175.51822378,41724194.9919496,-349783.20323133,-3056.0299878209,-319.073453911301,-266.983026634518,
9960,-4283496.80078232,41704644.4438939,-365798.717348292,-3054.66949918153,-332.610583220474,-266.86657630373,
10020,-4466734.66651649,41684281.8323782,-381807.088288268,-3053.24943012754,-346.142191778892,-266.744921000887,
10080,-4649885.54117456,41663107.4965909,-397808.003801825,-3051.76979995951,-359.668014814089,-266.618062372777,
10140,-4832945.85169803,41641121.7916056,-413801.151741412,-3050.23062915058,-373.187787592495,-266.486002168606,
10200,-5015912.02629195,41618325.0883787,-429786.220067501,-3048.63193934669,-386.701245424708,-266.348742240025,
10260,-5198780.49449533,41594717.7737464,-445762.89685474,-3046.97375336686,-400.208123670772,-266.206284541144,
10320,-5381547.68725152,41570300.2504217,-461730.870298096,-3045.25609520331,-413.70815774545,-266.058631128555,
10380,-5564210.03697859,41545072.9369909,-477689.828719006,-3043.47899002172,-427.201083123514,-265.905784161344,
10440,-5746763.97763977,41519036.2679101,-493639.460571528,-3041.64246416132,-440.686635345033,-265.747745901108,
10500,-5929205.94481385,41492190.6935005,-509579.454448492,-3039.74654513504,-454.164550020661,-265.584518711967,
10560,-6111532.37576561,41464536.6799448,-525509.499087651,-3037.79126162965,-467.634562836942,-265.41610506057,
10620,-6293739.70951626,41436074.709282,-541429.283377831,-3035.77664350578,-481.096409561606,-265.242507516105,
10680,-6475824.38691384,41406805.2794023,-557338.496365089,-3033.70272179802,-494.549826048878,-265.063728750307,
10740,-6657782.85070373,41376728.904042,-573236.827258859,-3031.56952871495,-507.994548244786,-264.879771537456,
10800,-6839611.545599,41345846.1127779,-589123.96543811,-3029.37709763913,-521.430312192477,-264.690638754381,
