tSec,x,y,z,vx,vy,vz,
15600,6330886.33484928,4392301.08181363,-438251.586148619,-1354.94627628419,2606.76675763635,6560.51418887992,
15660,6239742.63907985,4541764.8811504,-44140.116351799,-1682.38758182474,2374.06119388353,6573.10600779401,
15720,6129104.81453904,4677039.9761766,350109.463836177,-2004.57996504345,2133.93398310822,6565.11648437085,
15780,5999318.32840855,4797703.6261551,743262.686278921,-2320.50876470892,1887.14083429598,6536.57038859397,
15840,5850788.93996201,4903379.08531993,1134088.55117937,-2629.17949222465,1634.45875633046,6487.55851536572,
15900,5683981.38663221,4993736.79962371,1521363.47675822,-2929.6212490193,1376.68334242174,6418.23723665938,
15960,5499417.87145479,5068495.44000913,1903875.21352106,-3220.88993221126,1114.62604689888,6328.82778818231,
16020,5297676.36327878,5127422.77276241,2280426.71014496,-3502.07128329238,849.111474334693,6219.61537742544,
16080,5079388.71722323,5170336.36673915,2649839.92058044,-3772.28383404706,580.974647449704,6090.94810958668,
16140,4845238.62175288,5197104.13564666,3010959.54038096,-4030.68173415205,311.058242393732,5943.23570077441,
16200,4595959.38031879,5207644.71374365,3362656.65959404,-4276.45743664369,40.2098018226578,5776.94798646644,
16260,4332331.53623038,5201927.66364807,3703832.3201978,-4508.84423647215,-230.721075199671,5592.61322876992,
16320,4055180.35023234,5179973.51511595,4033420.96537354,-4727.11863461549,-500.885550364704,5390.81620093102,
16380,3765373.1424465,5141853.6360037,4350393.76738251,-4930.60249189331,-769.438312765064,5172.19606441343,
16440,3463816.5113468,5087689.93981661,4653761.82336699,-5118.66497927241,-1035.54025712071,4937.44409975334,
16500,3151453.44071978,5017654.43513225,4942579.21182508,-5290.72437032962,-1298.36108095124,4687.30133474542,
16560,2829260.30280737,4931968.62069221,5215945.90357378,-5446.24971018991,-1557.08183824319,4422.55605990443,
16620,2498243.76556302,4830902.72806956,5473010.51933649,-5584.76233488118,-1810.89746456631,4144.04119676418,
16680,2159437.61433389,4714774.81434919,5712972.92493763,-5705.83719948822,-2059.0192454534,3852.63152034151,
16740,1813899.49999041,4583949.7091624,5935086.65629418,-5809.10400236408,-2300.67720031643,3549.24076979565,
16800,1462707.62544693,4438837.82134727,6138661.16848846,-5894.24811685276,-2535.12237829393,3234.81867651614,
16860,1106957.38182461,4279893.81051127,6323063.90431446,-5961.01133901551,-2761.62906433806,2910.34792016108,
16920,747757.945092415,4107615.12906674,6487722.17829592,-6009.19245824714,-2979.49689089479,2576.84102259789,
16980,386228.843909646,3922540.44046906,6632124.8725816,-6038.64764383091,-3188.05284951628,2235.33718630531,
17040,23496.509751136,3725247.92038509,6755823.94254562,-6049.29065709589,-3386.65318013718,1886.89912327838,
17100,-339309.182178064,3516353.44754129,6858435.73263314,-6041.09295591992,-3574.68516989889,1532.60989438206,
17160,-701058.375249306,3296508.68814878,6939642.10106011,-6014.08368661022,-3751.56890083002,1173.56968569981,
17220,-1060624.68802078,3066399.07804935,6999191.34851272,-5968.34949467243,-3916.75890076611,810.892507057292,
17280,-1416888.65389932,2826741.70964889,7036898.94808385,-5904.03415450433,-4069.74566785984,445.702877407378,
17340,-1768741.13378785,2578283.13060279,7052648.07669848,-5821.33803999278,-4210.05709087673,79.132523631255,
17400,-2115086.69226633,2321797.06026196,7046389.94925724,-5720.51744143388,-4337.25976943333,-287.682889508372,
17460,-2454846.92908597,2058082.02988984,7018143.95802017,-5601.88376759227,-4450.96023623856,-653.606982396731,
17520,-2786963.76039382,1787958.95225051,6967997.61938565,-5465.80267152272,-4550.80609046454,-1017.50586482502,
17580,-3110402.64537125,1512268.62563592,6896106.32789226,-5312.6931026009,-4636.48705169069,-1378.251364641,
17640,-3424155.75301551,1231869.17678928,6802692.91482512,-5143.02625062477,-4707.73594318322,-1734.72431654869,
17700,-3727245.06085932,947633.447111084,6688047.00742467,-4957.3243227912,-4764.32959574714,-2085.81791784577,
17760,-4018725.37394244,660446.327815749,6552524.18539545,-4756.1591021541,-4806.08963726089,-2430.44112114243,
17820,-4297687.25037193,371202.052488505,6396544.93446207,-4540.15028055973,-4832.88311568113,-2767.52199146313,
17880,-4563259.82159306,80801.4577480692,6220593.40161983,-4309.96363049625,-4844.62294265548,-3096.01095159841,
17940,-4814613.50007142,-209850.778239977,6025215.95935041,-4066.30908903489,-4841.26819608158,-3414.88390889728,
18000,-5050962.57021293,-499848.912275903,5811019.58484919,-3809.93878272317,-4822.82432451875,-3723.14530298434,
18060,-5271567.65863885,-788288.922592952,5578670.05755812,-3541.64497464319,-4789.3432753126,-4019.83112021589,
18120,-5475738.07803578,-1074271.3005922,5328889.97640273,-3262.25789976493,-4740.92354056166,-4304.01188970138,
18180,-5662834.03727867,-1356903.84269955,5062456.59736875,-2972.64346472834,-4677.7101126081,-4574.79568266055,
18240,-5832268.70766706,-1635304.43580279,4780199.49048971,-2673.70073709145,-4599.89430108147,-4831.33112537291,
18300,-5983510.13107964,-1908603.82553401,4482998.0180996,-2366.35919422597,-4507.71333575366,-5072.81032018495,
18360,-6116082.95807165,-2175948.35412053,4171778.64340599,-2051.57582449396,-4401.44975695744,-5298.47157348416,
18420,-6229570.00973713,-2436502.65659383,3847512.08119473,-1730.33215829352,-4281.43064441426,-5507.60193605337,
18480,-6323613.65982791,-2689452.30661923,3511210.30083033,-1403.63124576986,-4148.02671213541,-5699.53959205196,
18540,-6397917.03388711,-2934006.40460902,3163923.38953076,-1072.49457471142,-4001.65129004632,-5873.67613124453,
18600,-6452245.02032413,-3169400.10044793,2806736.28297405,-737.958879182595,-3842.75915756809,-6029.4586948267,
18660,-6486425.0870429,-3394897.04179999,2440765.37140532,-401.072852808045,-3671.84522838808,-6166.39197606999,
18720,-6500347.89815155,-3609791.73860926,2067154.9905583,-62.893771797745,-3489.44307133582,-6284.04005726326,
18780,-6493967.72536628,-3813411.8339498,1687073.80775893,275.515970970817,-3296.12326810693,-6382.02806028004,
18840,-6467302.64923558,-4005120.27155874,1301711.11562899,613.092399684454,-3092.49161303329,-6460.04357057924,
18900,-6420434.54729869,-4184317.35083136,912273.047581088,948.773518797342,-2879.1871634647,-6517.83782026812,
18960,-6353508.86808731,-4350442.66058219,519978.729521845,1281.50288686524,-2656.88014980983,-6555.2266307914,
19020,-6266734.19064875,-4502976.88341628,126056.382445731,1610.2331888438,-2426.26975393764,-6572.09110476429,
