scenario,config,est,mode,seed,pos_rms,vel_rms,dv_err_norm,t_star_error,rigid_dev,n_iters,converged,runtime_s,wall_s,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
lunisolar,RIC0.5,FGO,FGO-G,112,196.5428411680002,0.028009583025939946,0.10498378053497649,-16.154998184028955,3662.0145133187657,8.0,True,21.157933739999862,21.537015523001173,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,107,195.38649456043765,0.0271963280089799,0.10166121100650781,6.513448290927045,4733.584530733595,9.0,True,25.50167901199893,25.878269640001236,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,116,206.3944243769507,0.0300122011609176,0.11947537785161236,-34.67003854626091,3420.8885843834846,6.0,True,20.162892030002695,20.68259653199857,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,121,166.7019701165642,0.026816209180296507,0.10192404294134243,-28.049859731341712,3166.162918513445,8.0,True,12.083875049000198,12.314648593001039,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,120,225.07435982133615,0.03605591270126572,0.12030023065731822,-112.0923130371084,4747.648580604815,6.0,True,14.708174710001913,15.085739284997544,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,119,213.3546726965954,0.036389140374684756,0.11844207781618067,-116.1736152047888,2893.0046752496087,6.0,True,20.157088350999402,20.67528569699789,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,114,195.59233610216208,0.027790199865277743,0.11764335258535959,-3.319494072282396,3044.599549585505,8.0,True,28.232193566000205,28.751368560999254,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,127,193.72848081583538,0.03639002095689719,0.12697076152823406,-129.6499949571371,3132.379204183015,4.0,True,9.852414458000567,10.232541127999866,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,131,169.96505387339363,0.026550536958200345,0.10050391867935428,-20.08988490615593,2935.896716728396,5.0,True,7.1634579860001395,7.39199735800139,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
lunisolar,RIC0.5,FGO,FGO-G,129,150.4249315780346,0.028490626967244113,0.1050100923120358,-77.32975841647567,3268.2330219436417,4.0,True,9.783104055997683,10.165690462999919,1656,1.0,0.030002545607144045,0.0010001058029336604,0.02990992514867006,0.0009970042332997835,0.03173314719966423,0.0010578568166336151
