seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,n_iters,converged,rigid_dev,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
52,953.857554662686,846.0450447593698,440.5133560122723,1541.866204544297,0.07121528401203306,0.06478874243390857,0.02956409191480753,0.11210421353829887,5.958510684999055,4,True,,,,,,,deltaC0.2,BLS-B
53,953.8355824221612,846.1609697970634,440.24303684069366,1539.4550747616402,0.07127643945021632,0.0648545227744176,0.02956724025679268,0.1119337005434196,4.387893570001324,3,True,,,,,,,deltaC0.2,BLS-B
54,953.861717708926,846.8317507317294,439.0081576272325,1531.8452553802078,0.07135106055734443,0.06495022731296425,0.02953712603914106,0.11137619616834202,4.376704567999695,3,True,,,,,,,deltaC0.2,BLS-B
55,953.8348097929398,846.4655279633341,439.65549506686233,1539.72484757982,0.07116136085131454,0.06473627704176305,0.029549174489029377,0.11194646247403837,3.986479901999701,4,True,,,,,,,deltaC0.2,BLS-B
56,953.9075372339956,847.2188177358269,438.36042757773504,1528.0754034684276,0.07140638287298762,0.06501653471601593,0.02952493401389399,0.11110780620108325,6.40016966300027,4,True,,,,,,,deltaC0.2,BLS-B
57,953.8845961508949,846.0925911768423,440.4805897308222,1540.1176218631165,0.07127524915619966,0.06485520379258475,0.029562876776468162,0.11198083175330992,8.405052443999011,4,True,,,,,,,deltaC0.2,BLS-B
58,953.8551081755107,847.6167409244013,437.4762026638843,1525.1270231491678,0.07134993097724791,0.06495946342649088,0.02951407734963832,0.11088659190033033,6.7023611620006704,4,True,,,,,,,deltaC0.2,BLS-B
59,953.8621805834633,846.9289268297641,438.82166360199653,1535.5523596845035,0.07121677982464647,0.06480382202034968,0.029534630184700348,0.11164701812000873,8.332717486000547,4,True,,,,,,,deltaC0.2,BLS-B
60,953.8102381578074,846.3252857748528,439.87211899911017,1538.7791293290309,0.07122364334979213,0.06479525231302734,0.029569961949747484,0.11187981897425885,4.373591027000657,3,True,,,,,,,deltaC0.2,BLS-B
61,953.8551357841932,846.1215444864094,440.36116088707763,1539.2842257144252,0.07128671531452004,0.06486266683740959,0.029574148019387358,0.11192011937212472,6.005134824999914,3,True,,,,,,,deltaC0.2,BLS-B
62,953.936542155656,847.4486874086886,437.97905049120806,1529.9995812509703,0.07128215133817546,0.064890928248139,0.029501059819834037,0.11124160165159887,4.399968832000013,3,True,,,,,,,deltaC0.2,BLS-B
63,953.9660784453612,844.8032683029177,443.1238164318517,1545.173204252232,0.07141567948746963,0.06497869390530124,0.029630535179408408,0.11234508464082722,7.408989139999903,4,True,,,,,,,deltaC0.2,BLS-B
64,953.8772744062147,847.0702179931898,438.581691840413,1531.7966583874138,0.07125995252931118,0.06485815502820048,0.029519494589467402,0.11136602605132936,4.198287627999889,3,True,,,,,,,deltaC0.2,BLS-B
65,953.8733178558717,846.4121471003358,439.8417712750443,1535.68737457092,0.07133346168481751,0.06492604747462394,0.02954777682436032,0.11165634937353154,6.103425742001491,3,True,,,,,,,deltaC0.2,BLS-B
66,953.8958613197352,846.4665470802954,439.7859694406833,1535.4290448340514,0.07136579591388927,0.06496012350942632,0.029550959037956334,0.11164398590925266,4.353773165999883,3,True,,,,,,,deltaC0.2,BLS-B
67,953.8751451758242,846.5613876017642,439.55842570240304,1538.5255795769438,0.07118111608002356,0.0647589239779419,0.029547132713969575,0.11185588868156299,2.9111681819995283,3,True,,,,,,,deltaC0.2,BLS-B
68,953.8978639544393,846.3436937519333,440.02668885327387,1534.8628550647006,0.07135831365577576,0.06495049262475083,0.029554059545149818,0.11159289160176372,6.166485060000923,4,True,,,,,,,deltaC0.2,BLS-B
69,953.8371748882527,846.867582661866,438.88569540969377,1532.6831361819711,0.07127857651526352,0.06486617758272084,0.029546818371005725,0.11143266382858559,4.4040447949992085,3,True,,,,,,,deltaC0.2,BLS-B
70,953.9604489493054,846.1706686379652,440.4948781726513,1535.339703795861,0.07139624784148582,0.06498717648384894,0.029565031684406155,0.11162494224325953,8.643373449998762,4,True,,,,,,,deltaC0.2,BLS-B
71,953.8329095030942,845.9779524788248,440.5888368659303,1539.8903948564714,0.07123440277334601,0.06480387084287065,0.0295769921096758,0.11195320316791345,4.172654956999395,4,True,,,,,,,deltaC0.2,BLS-B
72,953.8039011433193,845.9333557681673,440.6116651145562,1543.7645528912046,0.07115594818947205,0.06471287729046933,0.02958737020303578,0.11224356805074043,4.416885384000125,3,True,,,,,,,deltaC0.2,BLS-B
73,953.8839730206079,845.6695467535525,441.2908923592476,1548.3135034098775,0.07109609193304768,0.06464748308207087,0.02958643640768062,0.11257342364522811,4.4030793530000665,3,True,,,,,,,deltaC0.2,BLS-B
74,953.9127005174656,845.9312731276912,440.8511328703687,1538.3657465874517,0.07142637670944552,0.06501246701220126,0.029582197734905735,0.11185930611668385,5.852724048001619,3,True,,,,,,,deltaC0.2,BLS-B
75,953.8839398913822,846.8894386306607,438.94515547907594,1533.654314956017,0.07127549274494357,0.064869618003948,0.029531822261018192,0.111505317751278,6.141489753999849,4,True,,,,,,,deltaC0.2,BLS-B
76,953.9250683362377,847.1756378353801,438.48201178442025,1527.557376055343,0.07140551574443552,0.06501986241801067,0.02951550727790039,0.11106257448716758,8.244629111000904,4,True,,,,,,,deltaC0.2,BLS-B
77,953.864533655915,846.790155868481,439.0945006383587,1535.7452402038634,0.07131522164944383,0.06490773239284257,0.029543986097485857,0.11167033678850917,9.08507457199994,4,True,,,,,,,deltaC0.2,BLS-B
78,953.8956759163635,846.6665718772155,439.40036026114046,1532.1427665092278,0.07138715577708388,0.06498902900129787,0.029538993202377534,0.11139929551920172,6.03463049399943,3,True,,,,,,,deltaC0.2,BLS-B
79,953.8738886966604,845.986222281185,440.6616698190327,1540.982287777939,0.07125728221924907,0.06483099276309565,0.029572667222033763,0.1120417338907078,5.190494290998686,3,True,,,,,,,deltaC0.2,BLS-B
