sweep,value,config,mode,dt,epsilon,n_states,seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,runtime_s,q_mode,q_pos_R,q_pos_I,q_pos_C,q_vel_R,q_vel_I,q_vel_C
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,3,20.920898510252727,17.914651969553347,10.805056190787408,42.089775892376416,0.011911125641181906,0.00674959996296262,0.00981416396745011,0.4402766762684552,0.010913191093484875,-0.0015814321414360788,-0.0011274865313829485,0.011084669293187535,-1.2908897816432727,10.479918371000167,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,4,17.169714117240165,14.88329843074466,8.560754095822968,41.28888668408862,0.011890737599007719,0.006842300556221818,0.00972484260781543,0.4292144429092099,0.00879855463561674,0.015847536767644055,-0.008052934936385925,0.019834534185793926,0.439748050092021,11.102589419999731,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,5,27.81157724826787,25.181146264165555,11.806510994323085,54.18501403835125,0.012027788131540559,0.009448677447422832,0.007442458050388399,0.29532804231554355,0.0031259798641140035,-0.0071112198712276475,0.020174643157920724,0.021618451024928372,12.466497281873671,10.23077440499992,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,6,23.898136208873847,21.006634792500382,11.394832554820614,61.10500258358572,0.01273406859805468,0.007239490438055207,0.010475985932468098,0.47221056310685333,0.0021164494858553207,-0.005401510019820754,-0.013212655821211616,0.01443017473110421,-3.487875698630887,10.245923587000107,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,7,21.672160532439904,18.930747297040426,10.550324588345257,41.832542772462354,0.012379149756103146,0.007364151637087133,0.009950508497057597,0.4407280366876802,0.005499721954684955,0.005613721220760759,-0.002568048271311185,0.00826774935802046,-0.4411964894970879,10.468332308999834,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,8,18.687208625577725,16.164243134211,9.377046982604863,58.90278610866485,0.011661487527868705,0.006640534741116434,0.009586114422155782,0.4226138151466405,-0.008146135754528216,-0.02026914879257158,-0.012248566901967683,0.025044466687445893,0.7524591730325483,10.66497343600031,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,9,28.3070784809109,23.06646298198123,16.408198488113758,112.9698090144675,0.012633951030283586,0.00849050839424593,0.009355639253564828,0.39054461056435363,0.005421621751028338,-0.009293152145655292,-0.010166102245453612,0.01480223949537833,3.6895048617079738,12.614644657000099,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,10,24.59332256003285,20.92531041110938,12.921412412756514,66.75106999876691,0.012839781649005245,0.007760893103456533,0.010228808876445618,0.44889197494610245,0.002876211217712976,-0.025207620014069287,-0.0077582399381665446,0.026530868524810246,-1.3168428483713797,10.247935446000156,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,11,27.25899250894327,22.7418457171946,15.028676787327045,58.84188683207959,0.012522650998275302,0.008489685887334642,0.009205542980128682,0.4044482507307624,0.0022386733975450213,0.02327440065690023,-0.0070903017752379505,0.024433210263547767,2.530532752922227,10.896935931999906,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
dt,45.0,deltaRIC0.5,FGO-G,45.0,30.0,2209,12,22.450596485580473,19.686024953223043,10.793039613539735,42.66223949245215,0.013007650403835266,0.008242485019129157,0.010062823149485794,0.4361084874554997,0.012713344570573493,0.015428335246207014,-0.006020390464797021,0.020878404153289662,0.8755227116998867,10.29455169799985,calibrated,0.00029242334657139966,0.00020551827898079064,0.00012244761443226196,1.3001629333544363e-05,9.097364615205205e-06,5.441780364116963e-06
