seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,n_iters,converged,rigid_dev,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
23,15.840255618251021,14.470458804586745,6.443564233891907,37.05419803541105,0.004581393434921274,0.0013347366940685147,0.004382652594382403,0.1401736496090232,20.52174118200128,8,True,4.024485428180858,-0.0027285693833644315,0.001075760676325782,0.0008726359721811589,0.003060040106355996,-53.456193891659495,deltaI0.2,FGO-G
24,13.365383790214358,11.61246950512753,6.61695064604595,31.088695942828622,0.005653649863810295,0.001384841143358749,0.005481420599645954,0.16395540200404812,19.02879380899867,8,True,7.8034910318804,-0.004855325286271158,0.0009074519163549954,0.00021571623626826094,0.004944106199364067,-92.93943700481032,deltaI0.2,FGO-G
25,9.922410591159371,7.755052885859988,6.189780826254375,32.00799303540239,0.004789685210912131,0.0012490990390498034,0.0046239416097389515,0.14576379431405992,13.040726092000114,6,True,3.9231273162384257,-0.003030690138272383,0.000984443069937918,0.0007704187356388138,0.0032783770223074674,-61.70010646709852,deltaI0.2,FGO-G
26,13.329698765365182,12.08633162983288,5.621517313775641,31.992153649736213,0.007319353386974726,0.0016610956690195481,0.007128372547909017,0.18655319641525778,20.692733001000306,6,True,1.2408105371626528,-0.005928153060912029,0.0011024902138179749,0.0012207853341112372,0.006152137857456231,-153.51406232476438,deltaI0.2,FGO-G
27,13.32634282491664,11.237706016838942,7.162777154589487,45.29471863376776,0.003999666323097817,0.0013666273884673909,0.003758944037520859,0.12072135409457281,17.78658186999928,7,True,7.944413211633069,-0.003422677507080324,0.0007057853609074849,0.0002258066911645463,0.0035019770066234833,-27.03485906658898,deltaI0.2,FGO-G
28,14.942547689800117,11.714390950629403,9.276463556644998,54.38546662180006,0.007152817494397238,0.0018113171058063403,0.0069196769036110745,0.18419419119996955,24.758273081999505,8,True,4.334534999944079,-0.005775153581474751,0.0005188876404158549,0.0008609513858772338,0.005861986059505849,-144.02154061675537,deltaI0.2,FGO-G
29,11.746560016314634,9.93342696358962,6.269665140652438,29.748670438705794,0.0038530673828408675,0.0012008726145749822,0.0036611518980064215,0.11911601179890924,18.51049239399981,5,True,11.401189972148872,-0.0013237548638120877,0.0011518218370997202,0.0008209429095785296,0.0019372577899374145,-24.390423091084813,deltaI0.2,FGO-G
30,15.001818634998154,14.043833908002233,5.274968390599566,34.22086615779914,0.00820026996197236,0.0017727983470247916,0.008006348323050425,0.19348968577294628,20.721674500999143,6,True,6.290150458988684,-0.00442731313784937,0.001533797188893432,0.00010259283767014922,0.004686593723331717,-189.64336079594068,deltaI0.2,FGO-G
31,18.018679774361512,15.957963540514168,8.367569566523194,51.83734734201194,0.005198369057910138,0.0016437031112878843,0.004931661073530913,0.15292154938285069,13.754421249999723,5,True,12.04988883259467,0.002444065963573348,0.00121859701157373,9.997926781445174e-05,0.0027328433846283357,132.34530480608373,deltaI0.2,FGO-G
32,15.73101228070122,13.451385007401273,8.156285230313669,44.0304426359539,0.0038016423787675274,0.0014185355279938607,0.0035270726859338184,0.11209333379199603,20.784810027000276,6,True,4.629742914238439,-0.0017735103507613794,0.0006424740289000253,0.002044870338928048,0.0027820148355277496,-15.383381980544073,deltaI0.2,FGO-G
