sweep,sweep_value,n_seeds,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,dv_err_mean,dv_err_std,dv_err_R_mean,dv_err_I_mean,dv_err_C_mean,t_star_mean,t_star_std,t_star_rms
sigma_v0,5.0,5,28.424235050536176,6.861146863879239,0.013852636809438065,0.0017802037868172179,15.571399586599,2.0638705366075696,0.021099663262076462,0.007006344341803186,0.012278335027234567,0.007232815478861798,-0.0004894853091587881,0.9678670272907766,7.522616284563817,6.797688665593951
sigma_v0,50.0,5,2792358.547711439,6243835.838244356,360.70214417454724,806.522669694857,36.50609385320058,46.726357776586354,0.021097704371950236,0.007003644215162375,0.012283055893577765,0.007234300519321013,-0.0004935077339418226,0.9473620483964623,7.504966114932551,6.779167202523522
sigma_dv,0.01,5,28.42212971565892,6.858867068462753,0.013852614663676965,0.0017802321964233898,16.585858134599402,3.104027381092198,0.021098233766752465,0.007008383083853389,0.012278690613360154,0.007233125838215282,-0.0004890787750644332,0.9676664080619958,7.522798454729047,6.7978213825953535
sigma_dv,0.025,5,28.4237185239667,6.860551598975176,0.013852640135710314,0.0017794443117644502,17.25466774240049,3.303212540893254,0.021098246257269297,0.0070100423080222485,0.012278864544184743,0.007234103346667309,-0.0004893018378764324,0.9677761226361327,7.521603589051479,6.796779168415751
sigma_dv,0.05,5,28.422798103340096,6.86166049172319,0.013852807981549317,0.0017802713401159007,16.39021839219786,2.660335952535837,0.021102382541840933,0.007008226396683517,0.012279126884613523,0.00723819488256171,-0.0004857086288053036,0.9689397309448395,7.522170456947915,6.797446793385548
sigma_dv,0.1,5,28.423582699930755,6.862365336841472,0.01385262625451058,0.0017794604788649484,15.776769392798451,1.9603854062456465,0.021095666668047696,0.007008470636819284,0.012279177810416564,0.007234926910603678,-0.00048738365505173186,0.9665140510805941,7.520644898377769,6.795750816571535
sigma_dv,0.5,5,28.422777828904287,6.860108278775392,0.013856259715728403,0.001773712987010739,17.65433700359936,4.144331030306455,0.021097337870921128,0.007009224970139216,0.012282278840721972,0.007238994262025478,-0.0004885317777634457,0.9484008171759342,7.509175958816278,6.783040835376968
sigma_dv,1.0,5,28.42575807333572,6.857859562025747,0.013853862383823237,0.0017780320082538268,14.725061058200662,0.29872482124048355,0.02110455546446094,0.007008049839021896,0.012279350849027936,0.0072333932530339925,-0.00048703860136910525,0.9613720744135208,7.516610528795875,6.791449281173065
sigma_dv,2.0,5,28.422843511071854,6.864628661878034,0.013851116236679362,0.0017803948664861034,16.889602044800267,2.389717133887929,0.021097758465460727,0.007009463599121334,0.012279396704232792,0.007237920983934965,-0.0004856415434044692,0.9723778111732827,7.520286019943446,6.79626956977632
sigma_dv,5.0,5,28.424541507129078,6.862005067296395,0.013852285967608385,0.001780254324987417,15.79779706479967,1.6088749798931026,0.02110286984242441,0.007007496073898671,0.012278926190532679,0.007236634984405565,-0.0004868532245331569,0.9697288363531698,7.522513162796924,6.797862711442271
