scenario,config,est,mode,n_seeds,n_converged,pos_rms_mean,pos_rms_std,vel_rms_mean,vel_rms_std,runtime_mean,runtime_std,iters_mean,iters_median,iters_max,rigid_dev_mean,dv_err_mean,dv_err_std,t_star_mean,t_star_std,t_star_rms,t_star_abs_mean,n_steps,q_mult,q_pos_R,q_vel_R,q_pos_I,q_vel_I,q_pos_C,q_vel_C
arc1.25,RIC0,EKF,EKF-G,200,,154.19397141330995,36.495525147943255,0.12654038055861525,0.04922575162860487,2.083539148539785,0.6305679046218525,,,,,0.012005132237106309,0.01247680255086883,-10.458967625175392,146.48208789042542,146.48927287060678,119.64370881508748,1801,1.0544612840458292,0.0005222729796942964,1.741809990610509e-05,0.00036607237945782524,1.2095762254666029e-05,0.0002095963484853096,6.985933518342208e-06
arc1.25,RIC0.5,FGO,FGO-G,200,200.0,13.460236310370705,2.1649401170189986,0.015198437618684349,0.0012422945254422265,30.238176219055312,40.289813288526176,9.525,7.5,80.0,7.280059331105588,0.0029279587300380995,0.0007626677019433901,-21.50707030718877,14.059801267142815,25.675741368294585,22.361476242469216,1801,1.0544612840458292,0.0005222729796942964,1.741809990610509e-05,0.00036607237945782524,1.2095762254666029e-05,0.0002095963484853096,6.985933518342208e-06
arc1.25,RIC0.5,BLS,BLS-G,200,200.0,14.120207455711784,2.031821951888228,0.015464998408038545,0.0012669439312941128,10.97641103827009,7.687103627810154,4.5,4.0,14.0,,0.003228701086468711,0.0007539451194268591,-24.415776102745696,13.918304661912893,28.08702069173455,24.97815600576967,1801,1.0544612840458292,0.0005222729796942964,1.741809990610509e-05,0.00036607237945782524,1.2095762254666029e-05,0.0002095963484853096,6.985933518342208e-06
arc1.25,RIC0.5,EKF,EKF-G,200,,157.6698489770698,37.0777056425706,0.12943515258201915,0.04854762903544997,2.332725075455237,0.6215961880795697,,,,,0.1035818529265281,0.09743902080909365,-35.697997209278256,36.87053045809681,51.25412998904357,37.885557680860366,1801,1.0544612840458292,0.0005222729796942964,1.741809990610509e-05,0.00036607237945782524,1.2095762254666029e-05,0.0002095963484853096,6.985933518342208e-06
arc1.50,RIC0,FGO,FGO-G,200,200.0,14.66083980020357,1.7599209538860374,0.0013074493651621688,0.00016614533576874568,20.787509508214715,13.118953627388146,5.3,5.0,15.0,46.88544242131206,0.002100857268599135,0.0004613761799806743,-3.7159396851810014,133.84584955286547,133.56251754537857,111.28097466257422,2160,1.0679021511468128,0.0005223344210152495,1.7420162930953864e-05,0.0003660867457731735,1.2096231553083162e-05,0.000216817614889461,7.227232947073851e-06
arc1.50,RIC0,BLS,BLS-G,200,200.0,21.838614422181198,1.0936691106261194,0.0019522002292429901,0.00012422177894291585,16.153255464089998,4.352308811738736,4.655,5.0,7.0,,0.003525794060816541,0.0003749561140926323,7.079723482772788,133.64121979821746,133.49456256942537,111.24093914347414,2160,1.0679021511468128,0.0005223344210152495,1.7420162930953864e-05,0.0003660867457731735,1.2096231553083162e-05,0.000216817614889461,7.227232947073851e-06
arc1.50,RIC0,EKF,EKF-G,200,,140.09325371516059,30.336143802171108,0.10953253648491607,0.04314334156108727,3.0310960638596587,0.6695948647798643,,,,,0.01179683085423147,0.01271411670123458,0.15791713247563166,174.2766451726218,173.84047930554476,138.59919195110123,2160,1.0679021511468128,0.0005223344210152495,1.7420162930953864e-05,0.0003660867457731735,1.2096231553083162e-05,0.000216817614889461,7.227232947073851e-06
arc1.50,RIC0.5,FGO,FGO-G,200,200.0,14.120863932586229,1.7659953464670235,0.015368294694257356,0.0012069986294854056,28.667026979180193,20.834579356286714,6.91,6.0,28.0,25.686555140854374,0.00309632502730785,0.0006025673850065227,-38.514032373939955,12.662333977930722,40.53225527849037,38.514032373939955,2160,1.0679021511468128,0.0005223344210152495,1.7420162930953864e-05,0.0003660867457731735,1.2096231553083162e-05,0.000216817614889461,7.227232947073851e-06
arc1.50,RIC0.5,BLS,BLS-G,200,200.0,17.664154910675705,1.2454314614089215,0.016848636403746065,0.001223855138127686,16.878493195254777,12.99207692317593,4.395,4.0,14.0,,0.004282970389303871,0.0004743837634002987,-53.35404483539401,12.05619884569476,54.692588814675176,53.35404483539401,2160,1.0679021511468128,0.0005223344210152495,1.7420162930953864e-05,0.0003660867457731735,1.2096231553083162e-05,0.000216817614889461,7.227232947073851e-06
arc1.50,RIC0.5,EKF,EKF-G,200,,142.67685156668693,30.849951763671612,0.11219096768574403,0.04273582737621612,2.947363638615352,0.9609930044487821,,,,,0.12570543917841767,0.12564591586456425,-59.79517460625506,43.091869191132034,73.64161561662152,60.16920142385814,2160,1.0679021511468128,0.0005223344210152495,1.7420162930953864e-05,0.0003660867457731735,1.2096231553083162e-05,0.000216817614889461,7.227232947073851e-06
arc1.75,RIC0,FGO,FGO-G,200,200.0,14.591834756946696,1.5433999162756664,0.0012387721096830515,0.00013668675949311856,24.21311915024493,11.181721018024701,5.69,5.0,18.0,118.03132746837859,0.0016359695071241952,0.00024065624114012472,-7.728684973679629,116.12673204050017,116.09359748218883,93.36924815794373,2520,1.0580729028581863,0.0005223950843714019,1.742219798851183e-05,0.00036602034597178496,1.2094022165105034e-05,0.0002115272972557726,7.050475706311552e-06
arc1.75,RIC0,BLS,BLS-G,200,200.0,34.740642087070235,0.6168269884631636,0.0027534417719154033,8.760685592779002e-05,23.64344332030494,14.095488227193709,5.56,5.0,15.0,,0.004344008836706348,0.00021315047252643706,49.661534798639,115.16983240536905,125.15605412186748,101.59076852063455,2520,1.0580729028581863,0.0005223950843714019,1.742219798851183e-05,0.00036602034597178496,1.2094022165105034e-05,0.0002115272972557726,7.050475706311552e-06
arc1.75,RIC0,EKF,EKF-G,200,,130.24257860844068,28.12790550241858,0.1047243522648291,0.04011242819096548,3.444660646550219,1.00653363889982,,,,,0.01310954509222897,0.012050790459689233,-25.423818330054527,180.883213195466,182.2128252080968,152.7519750968293,2520,1.0580729028581863,0.0005223950843714019,1.742219798851183e-05,0.00036602034597178496,1.2094022165105034e-05,0.0002115272972557726,7.050475706311552e-06
arc1.75,RIC0.5,FGO,FGO-G,200,200.0,13.945160206109522,1.7915195014250402,0.01514462296684716,0.0010016874254233478,32.06426492401024,20.482911106944275,6.9,6.0,33.0,69.91730040623517,0.0027901871285474058,0.0004995451462637419,-48.74968053660774,10.708171769693271,49.90614160959873,48.74968053660774,2520,1.0580729028581863,0.0005223950843714019,1.742219798851183e-05,0.00036602034597178496,1.2094022165105034e-05,0.0002115272972557726,7.050475706311552e-06
arc1.75,RIC0.5,BLS,BLS-G,200,200.0,25.047191499808235,0.7852736376240802,0.01982704363776802,0.000912494434001403,19.036143186000263,13.72390806827115,4.43,4.0,14.0,,0.005694444092654246,0.00032229305631109096,-96.27488631005443,9.281437995186941,96.71901622646972,96.27488631005443,2520,1.0580729028581863,0.0005223950843714019,1.742219798851183e-05,0.00036602034597178496,1.2094022165105034e-05,0.0002115272972557726,7.050475706311552e-06
arc1.75,RIC0.5,EKF,EKF-G,200,,132.90520697716644,28.72393778947732,0.10703917010132248,0.03959786158062045,3.466847456484793,0.29656901605526204,,,,,0.11616329137161657,0.13524989496514936,-60.07504305860348,40.54101927418988,72.41800308669349,60.30647538761528,2520,1.0580729028581863,0.0005223950843714019,1.742219798851183e-05,0.00036602034597178496,1.2094022165105034e-05,0.0002115272972557726,7.050475706311552e-06
arc2.00,RIC0,FGO,FGO-G,200,200.0,13.519638416291773,1.397646096045515,0.0011867505140257218,0.00011937104495462372,28.4750086341297,11.159014252853495,5.72,5.0,14.0,227.86402486534178,0.001731100849054535,0.00029522025187598053,-0.5143239673334028,119.64739031819674,119.34900522856702,96.52903444289703,2880,1.0679254800982225,0.0005224439790559193,1.7423835969564252e-05,0.00036600794099073147,1.2093609001850703e-05,0.00021683127104565932,7.22768844848634e-06
