seed,pos_rms,pos_mean,pos_std,pos_max,vel_rms,vel_mean,vel_std,vel_max,runtime_s,dv_err_R,dv_err_I,dv_err_C,dv_err_norm,t_star_error,config,mode
161,27.791077743634368,24.196201708740094,13.670692192522385,59.972649330984396,0.012201873144746824,0.007030656484340027,0.009972741731324505,0.18702989463329867,8.479161913999633,0.003020451748962956,-0.01360758654263225,-0.0065659448683831785,0.015407828279731283,-256.7178198771162,deltaI0.2,FGO-G
162,30.00060096388765,26.412913894386044,14.226525851456683,67.20354288412425,0.010765922038834927,0.007542503052505725,0.0076821692931888326,0.2151796207478536,16.281233865000104,0.00948245787198342,0.016260221531156027,-0.008980862335141305,0.02085587926266764,141.0568217588625,deltaI0.2,FGO-G
163,26.066714368819657,23.8416036628667,10.538099106025255,52.97916841169781,0.012996050288263412,0.008989076200203056,0.009385831458214797,0.19228649361905514,28.91494579799837,-0.017843440279702454,0.0043241961741620205,-0.0111286601533327,0.021469376105893726,-214.2102051680322,deltaI0.2,FGO-G
164,24.435009633724924,21.647738158226595,11.333363509262828,62.841769072929395,0.008593158125419163,0.006826375268278024,0.005219479597153292,0.1747232987815885,11.072086623997166,0.010006568356693293,0.001587467241602969,0.001076296317546814,0.010188713180942081,92.56442969439013,deltaI0.2,FGO-G
165,24.971418771737632,21.91594161101109,11.969263084093493,79.87989506267552,0.011879038458485739,0.007807982863370376,0.008952483359576704,0.2004086480929173,23.819766441996762,0.006420349737902376,0.00729957696040151,-0.00871345811094714,0.013054848402376727,-168.49399033996087,deltaI0.2,FGO-G
166,20.291202430718215,17.492138250556827,10.28387064814565,53.543767408829986,0.007493885123224406,0.006430531674255944,0.003847931473723916,0.08316725724593531,9.766691722998075,-5.81503230290993e-05,0.01385809877342803,0.009301037716893114,0.016690104424035943,7.051404722013103,deltaI0.2,FGO-G
167,26.89542358021868,23.072088490818334,13.821813999299483,58.53827831586069,0.013633823435321846,0.00872537950109173,0.010476110634556099,0.1828392714585455,24.718766355999833,0.0051324141594247304,-0.0034844468921177707,-0.009344848569896423,0.011216471817917963,351.2071356546603,deltaI0.2,FGO-G
168,28.03130518071253,25.093409137650553,12.492993555778236,70.84850615817228,0.012174549076398365,0.009431055434581732,0.007699015430785849,0.20975525526396496,9.263346470001125,-0.0073951654287944925,0.024590092043694056,-0.014155902683252494,0.029321505404980457,-85.70550787070715,deltaI0.2,FGO-G
169,22.180731223286053,19.174674640688018,11.14973945988931,78.71895231010957,0.00914900366366184,0.0070683005302947756,0.005808906579652696,0.16244515684192165,8.11206421800307,-0.0016080806128151296,-0.019352512952894113,0.01743162229374728,0.0260953470304787,-26.248079449162105,deltaI0.2,FGO-G
170,26.04726554031196,22.244999166427228,13.550647741461473,69.26317366517083,0.008876049662006998,0.007537142035581821,0.004687829725777171,0.06707578647156255,16.108159391998925,-0.001966285286005945,0.0019105085431238844,-0.01196237234879694,0.012272516976177887,14.427289261824626,deltaI0.2,FGO-G
